asin,searchedBrand,productTitle,breadcrumbs,brandInfo,link,scrapedAt,status
B0DNJPH5ZN,UMZU,"UMZU Sensolin GLP-1 Metabolic Support Supplement, Boost GLP-1 Production, Reduce Food Noise, Balance Mood, Clinically Advanced Berberine, Ceylon Cinnamon, Chromium (60 Capsule | 30 Day Supply)","Health & Household > Vitamins, Minerals & Supplements > Minerals > Chromium",Visit the UMZU Store,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyMTkyMTc5NDc4MzQ3NTU1OjE3NDc5MDUwMzg6c3BfYXRmOjMwMDcyMTU1NDIzNzMwMjo6MDo6&url=%2FUMZU-Metabolic-Supplement-Production-Clinically%2Fdp%2FB0DNJPH5ZN%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.2FAQ1U73s8stPXFuUVIQ2ZQ-jlmB9smqnbb1Kc1RitYPcGczeRxr9upTzRRd3FX8-6g8SBTAXvFzxiFfK9zoJhV0B6yI0rN9KWqYKUB0L20vOAJlv-qZzIhAvBpuxYme3e3SBK5OpZG2XuT3w11IvQ31rC2cJ7H_muCNWTuxjDwp3IJEJbeW0bO8g90UBBrtdZkP5IoHQtW9dUWYID2h6FZkmX9VmIEqM47AYQ70kjUF4mpMSfIXLVX75KaKti1W743wkFBxuveEJ97iLWE0_mQIw2Zg79fus_yeqNVkHKQ.wB1nlQtVdO4YVBkAheG70ewKl8JXryao02BOilp6yR0%26dib_tag%3Dse%26keywords%3DUMZU%26qid%3D1747905038%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,2025-05-23T10:27:22.405Z,success
B0BBG16YYV,Tulua,failed to scrape,failed to scrape,failed to scrape,https://www.amazon.com/dp/B0BBG16YYV/ref=sr_1_16?dib=eyJ2IjoiMSJ9.2wCs3KEpnCruMHGKYhJBgsloplS9M-aZcoWgOUEfPLlFN5A5dnOsFRTFkdwcNB965BJ1E8vjhFJZUpTtnLfqqkdQdVILm3ZyM8ytYTwtoYp7U_2NWDhSlADauZwFJOYj2Cswb6pdP2P5oRaEiIkGiIoUTnXwIodNT24jEk-RX7n4oUddzQaL58VFdo0nNESmFMcQDuBSXtYI-39nciEU77MSeIR2ZwQrVDfGDHBN2AZqQ9OBx1U_iwSsHYSHroDK8R9okTohPfa-9V6jACQtHnC8JT7dSBn3124xDEL3bvc.TYPiUInJccWwqmfpB0Zap8H3jHkXZVdIL78n5yIDAqQ&dib_tag=se&keywords=Tulua&marketplaceId=ATVPDKIKX0DER&musicTerritory=US&qid=1747905043&sr=8-16&trackAsin=B0BBG16YYV,2025-05-23T10:58:43.851Z,failed
B0B8B1VR34,Cerebelly,"Cerebelly Organic Baby Food Pouches Variety Pack – Organic Veggie Purees for Toddlers | No Added Sugar, Fiber, Non-GMO | Blended Toddler Pouches | 4 Ounce BPA-Free Pouch | 4 Flavors | 8 Count",Baby Products > Feeding > Baby Foods > Meals,Visit the Cerebelly Store,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozMjIwOTM4MTUzMDUwMDcyOjE3NDc5MDUwNDg6c3BfYXRmOjMwMDY3OTI3MTUxODEwMjo6MDo6&url=%2FCerebelly-Baby-Food-Pouches-Brain-supporting%2Fdp%2FB0B8B1VR34%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.nLkdPXYPfg3ihqJlkrP6AT85mBYDjw-BfK6O-tLIR7Hgg26aRPk3yBQOitXymo3cF2ho1y0Q7DtEALsUv2yOty2pt-0WzlJrkrWUK7jFA9k5E78Yxx_5xbmOAQJvF1vEDWjG0o2AP2xTnUdFPqF-BA94EVBrC561XLdluf1wu6qoF2D9UPVufaKXhawLHbq3C5ZBAKkbvh87CHkmiCYaGoENl2Nu43GoRmy2B7hDAXhx6rpp_yFxbsITTyc7gBnrqSlnRDwGectHgFOhLaDjKw8U7eTHfD_tl_L8gDc9mo8.OqwRMBUguwFadiCrFksJi7rAwXqExlZA5JTipp6hiaY%26dib_tag%3Dse%26keywords%3DCerebelly%26qid%3D1747905048%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,2025-05-23T10:58:47.842Z,success
B07PPTCDV2,Oya Care,"OYA Leave In Hair Conditioner - 236 ml - For Natural, Color Treated, Frizzy, and Curly Hair - Detangle, De-Frizz, and Hydrate - Leave-In Conditioner Safe for all Hair Types - Sulfate and Paraben Free",Beauty & Personal Care > Hair Care > Shampoo & Conditioner > Conditioners,Visit the OYA Store,https://www.amazon.com/OYA-Beauty-Leave-Spray-Conditioner/dp/B07PPTCDV2/ref=sr_1_1?dib=eyJ2IjoiMSJ9.T1D3ceeGg1HDym44EIf3OT4OKjBdnru41LpTMgcWayzWx-P01oKUbcl0PWhi4XLQtekG05vlulRApRRZ3buWR-DHswVpwDqz0GleUugQ8KY-Oslv79bBqJ8TnZ47vwD_vEoCIoGeKlyHgEw3SQ2mPTSwRH7m_iddtKVwVDsO3w7K5ia2Tm4bT42_tHYpcu8fxdohtkxACKyYPrvTwbhoTLJLeXtCAT-9Ou-05M5ca5hG3dWpU3A3zdqDVFz6rJqxxeUBFcVhfVyne_yueL7qdg.uIUEHIYUkDYmwLukfMjM25hZLNxy9PNHQijfXWHOU2M&dib_tag=se&keywords=Oya+Care&qid=1747905053&sr=8-1,2025-05-23T10:58:50.712Z,success
B002C0E5VG,Breadtopia,Breadtopia Live Sourdough Starter | Organic Non-GMO Ingredients | Active & Ready to Go | It's Alive - Must be Fed Immediately on Delivery,Grocery & Gourmet Food > Pantry Staples > Cooking & Baking > Leaveners & Yeasts > Sourdough Starters,Visit the Breadtopia Store,https://www.amazon.com/Breadtopia-Sourdough-Starter-Live/dp/B002C0E5VG/ref=sr_1_2?dib=eyJ2IjoiMSJ9.RIdltgmr5qqIddzNefUYjXOeqlH7zoHPTkKqNX68qyuyIYxyaOPJz4GBzMC8A2FFwiTRqJZPXvGBM14nvg0TTw8vzr8zA78OvwQbrZivtGCTpTO4Lw0PYL-Xj9aHErHV-LeTk5E7gOF78P60hkprHQXb3g_9oRdPt0EE-l6CgI9C8R0b1B61P8mMm4X4yJ0N1w6Ys8MIatmuc2f1vKa4CEzoX3Yc7P7zWzu2L3_ENdVOmTPN7katNK9ZUBFdiIKz_CFGmJroP_AgAhEMFYcgNKqMNJu-yP-ONkhYRfwMIcU.P_Mff9La0HecSXrqzseHOZu_8uxaLPEOqn_svL_Sxlc&dib_tag=se&keywords=Breadtopia&qid=1747905059&sr=8-2,2025-05-23T10:58:53.116Z,success
B0CJLLX6X6,Noteworthy Paper & Press,Noteworthy Florida Postcard,Office Products > Office & School Supplies > Paper > Cards & Card Stock > Postcards,Visit the Noteworthy Store,https://www.amazon.com/Noteworthy-Florida-Postcard/dp/B0CJLLX6X6/ref=sr_1_2?dib=eyJ2IjoiMSJ9.CNhyp6A5V55St5AIlTlnqFFiwwy1qPNz0UPHj_gAI5vZal0h23MyFyLOcHLjbgRgKh0fqX-v4IpwNteW5xEUU-qFUL5Juul6FD7wxtq7Qz99CIQ2qbbq5GSn4UcGW26HbnA9GRd4nVrfUiz6YrqFKbb4ypqb2AuXA7w2u9ShJAdWlfDZFzJ47Zul8cX66GcZXLEndq-z1Xgp-7YxbAo6to_HPqrotNDKvpAxrwriQ7-vczLJB-XyCIk7l41uMtp3YUXMU0GUksHtvJ1IoQARsszG1eK7mSbBZdcrWMFEFAU.vfIANEthNlF4eFZ89m35f0e-yPw2MXbKJXLa4fG7HM4&dib_tag=se&keywords=Noteworthy+Paper+%26+Press&qid=1747905064&sr=8-2,2025-05-23T10:58:55.521Z,success
B0013ZFU2O,Heritage Brand,"HERITAGE STORE Castor Oil Roll On Nourishing Treatment - Targeted Hydration for Skin Care, Hair Care, Quick and Easy Castor Oil Pack Wrap - Hexane Free, Vegan, Cruelty Free, 60-Day Guarantee, 3oz",Beauty & Personal Care > Skin Care > Body > Moisturizers > Oils,Visit the HERITAGE STORE Store,https://www.amazon.com/Heritage-Nourishing-Treatment-Hydration-Application/dp/B0013ZFU2O/ref=sr_1_2?dib=eyJ2IjoiMSJ9.UAhrsNGcHSzz8YRoFLK9Cr2ref4iIj7DuUQuo5CvYT-CKaL6uvqxuQCXwB4cULtTUYvGKS2iKk4CTlp0gbxyuPn701N-jhKHINHIYRFj4mV2fO-I9S2Mqvdam3sL6BqYbiazsQrdRP3hOFc9M2B3c6mk9fKHpgEekVnn0-xQ-0GQBUhrIFqY2SvAe58KLdVh8rdw5T0vU0kUnZE8AytPaZ2vI3Ze9jbSd2ulqVGh1p8BMKOeUTi8fsCgVN_Zs9ks0WugwDQxpNjWF9iUbqCUKtBT5_T5c3Fv0-TUYwAgdvw.Qj6kgKRbh9H7D7Gxeb5m_2hdU7dxGUxX6RMuddocqVU&dib_tag=se&keywords=Heritage+Brand&qid=1747905069&rdc=1&sr=8-2,2025-05-23T10:58:58.101Z,success
B0CJCMZLTW,It's Skinny,"It's Skinny Spaghetti Pasta– Organic, Non-GMO USDA Certified, Low Carb Pasta, Gluten Free, Keto & Vegan-Friendly, Shirataki Konjac, Sugar-Free, 4.5 Calories, Ready in 2 Minutes (6 Packs)",Grocery & Gourmet Food > Pantry Staples > Pasta & Noodles > Noodles > Shirataki,Visit the It's Skinny Store,https://www.amazon.com/Its-Skinny-Organic-Spaghetti-Noodles/dp/B0CJCMZLTW/ref=sr_1_13?dib=eyJ2IjoiMSJ9.w2lQsG4baz-6y8_1Ni0Issjx8svPhLpi6284nRkQuxtUQR9iQabkJOdYSJga9swPK7LrM1a8RHRRHxsq-6plIwVTGMj72mI2qrSetRMQfYXEa8ALrDIiOnN6cRbcBmLAYymYloXWotd41TEXw6MUKs-3Pn1h_Eiu2X61GIra5gf0bCKytSyKYhtE6JyQk7LortV4P8A5EXuESKCVRciEf6d5vghM6bxjiGdwj_ibeNe5-mhjxabfXuLDjl_KQV_0DsQoJFKQqhIEhVKNmTVwyZc13M6ePXWuxtjhR2gN_mU.0LEKODstTdwhit4-U0YpL4xQVo27D_1PD-GR5VJQFEY&dib_tag=se&keywords=It%27s+Skinny&qid=1747905074&sr=8-13,2025-05-23T10:59:00.493Z,success
B07CHT5L5H,WorkoutLabs,"WorkoutLabs Yoga Cards I & II – Complete Set Beginners & Intermediate: Professional Study, Class Sequencing & Practice Guide · Premium Yoga Asana Flash Cards Deck with Sanskrit",Sports & Outdoors > Exercise & Fitness > Yoga > Starter Sets,Visit the WorkoutLabs Store,https://www.amazon.com/WorkoutLabs-Yoga-Cards-II-Sequencing/dp/B07CHT5L5H/ref=sr_1_1?dib=eyJ2IjoiMSJ9.xqjDo5qFlX0Jiq5LuXCTDaREXU_O0wPX6-UWjurrF40SKUG3S3qykZDBX-M3Sa8K.nm3dEEeg_hNzkBLdlwpDWN1aKKlf1r_qh-CmELV1U9E&dib_tag=se&keywords=WorkoutLabs&qid=1747905080&sr=8-1,2025-05-23T10:59:02.911Z,success
B00UBWJDZU,Vergo,"Vergo 275 Ibs Capacity Folding Hand Truck Dolly – Lightweight Aluminum Frame Dolly Cart with 42"" Telescoping Handle, Compact Hand Cart with 7” Rubber Wheels - Ideal for Multi-Purpose Use (S300BT)",Industrial & Scientific > Material Handling Products > Material Transport Equipment > Hand Trucks,Visit the Vergo Store,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3NjI0NTE5NDEzNzY2OTI1OjE3NDc5MDUwODU6c3BfYXRmOjMwMDY4MTg5MjgwOTQwMjo6MDo6&url=%2FVergo-S300BT-Industrial-Folding-Capacity%2Fdp%2FB00UBWJDZU%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.4XWCZaQB9Jji13VbiE_JSGmC4GeJZmfUriOCFUkj0pd5qIMNqL-MDlcemILvWTAsM5Lc0vreRmX6GlVEJxeVpPgGAL3dzuGvvhFF50_QhyWbEwwwvB6d1677NApdt9s4.Rm7WOqzK6t7QfOh3bFgtWgAuil2MAGyBvzXy1HeGBwM%26dib_tag%3Dse%26keywords%3DVergo%26qid%3D1747905085%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,2025-05-23T10:59:05.486Z,success
