asin,brandName,title,link,matchedWord
B0BXRD19MV,EM Cosmetics,EM COSMETICS,https://www.amazon.com/Cushion-Tinted-Luminizer-Balm-Quartz/dp/B0BXRD19MV/ref=sr_1_6?dib=eyJ2IjoiMSJ9.pWnXaUy-6ft_8M5C3-_Xa-q1PKHIOB9NukZjvNr6eBY33w-9-NgqO8liTz8-g1n_939rAq2d9x_jTn8rYLkHx5R7jRzD9C-LFBc_0ixA7C1YaNs1-VmbGoORk5G2mxdwGV86jmlb2IzUUMdExweb1sziBxud8gPCe4UIBVMNVt6J2n2BNAadOEcyDroMgRy4AxZB0H_zIsjPt1-4ULsqo7ML_VSPhs3DIDhAwZGyKkpnRc4-fieqdbQ08zkR8d039VSK4Hv4P2bpGskxnFfBRJyM1fqyoq0Rp8A4TP-j9a0.fWcZLQ3KexkYGG6ovOCBQYcNzX4nKVOUcI2mVBvFzao&dib_tag=se&keywords=EM+Cosmetics&qid=1747908408&sr=8-6,Exact Match
B00P85Q5A6,Frankie Rose Cosmetics,Frankie Rose Cosmetics,https://www.amazon.com/Frankie-Rose-Cosmetics-Perfection-Foundation/dp/B00P85Q5A6/ref=sr_1_1?dib=eyJ2IjoiMSJ9.H1DkepHUDyPwEQ_r4SLoGjYdLrtVu5vSB8b7zrlj1tVHkmEuBdpHEtavONCKZ7glysgP8gZN3z_YLh92fpqUKmUmMApqWPY9QdiMkSnQgCkPbmZxl1rgOtGkZhyRVWU3jT8VYBAOzhMaILMvimCZnsqLPGhzGllMUEzrE_VpHgccqI_ika7VqNyVM4e6ujRcaIWEb6vAySDwaZsn6exNT4ltNOm_JAqrUgsMOqaOOYm3F1QE5IJNPDMn7MsYtSvsGc9igCJA7X2ju81FcG93XDGKF4qLBxgPD-vjBNs9iVo.tTYog4Fe3Q0nvtg_Eo9awARz-6NmgoPVYvKV0G2YJY4&dib_tag=se&keywords=Frankie+Rose+Cosmetics&qid=1747908413&sr=8-1,Exact Match
B0D2TMQLN3,Half Magic Beauty,"2 Pack Mushroom Head Air Cushion CC Cream, Beauty Cream EXO TOO, Moisturizing, Long Lasting Matte Base Makeup with 2PCS Mushroom Head Sponges",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4MDg0MTQ5MTQ3MzQzMzI5OjE3NDc5MDg0MTg6c3BfYXRmOjMwMDMxMTUzMDYyNTkwMjo6MDo6&url=%2FCushion-Mushroom-Foundation-Moisturizing-Lasting%2Fdp%2FB0D2TMQLN3%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.etHkLyWPdVU9rIgCxjVVZghx1dwN-zVXywhtsAF65Xw-RFn1axHTAJMpDVmSQwwjBb46Qj6cQN2MJjcnJwNuKm2n0FFKzCK1ydlKT9bhqPmcp6_pXuMgLBkv51SKNP6hm1k14Dp6Qjbv-dDugOR1p-Xy9fCYF9jfydwbXvmdzbnioJOJHIVrhDdFGGYxb-FOfQSxqHGkaimobi_92fm2qw5raDr83v9p8ps3PcEEkhTfb-3AkdAZy03C30-u3CpYzGqWnZGWsuwf0DDNyY0L8KQwkP03ZEea03kITuYsOuw.Lcykse1_6iXqMoXe38YkIsBK4_eYIuPEPZpNFBxEm1k%26dib_tag%3Dse%26keywords%3DHalf%2BMagic%2BBeauty%26qid%3D1747908418%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,Word 3
B0DHYFH6BW,Liber &,Liber & Co.,https://www.amazon.com/Liber-Co-Almond-California-Almonds/dp/B0DHYFH6BW/ref=sr_1_1?dib=eyJ2IjoiMSJ9.27iwz0o776nvPvPudyj4tT2ANt37p4TwWDO_KfWDXKTXvUMcjAGya4Q_ct7oTCcgFGZJkEZTIU5pmCnmNnoQR5LA33Dk4ltRCsfKBwJwSzIxB9hedulG7P1J_yFA_yHsQ14EvC_POIsN1YWJ4uvDEjCaX7jiQbMfxEuJ0ACTPIoBmfZHpSTrv3fVF_nuXbfBW-bNHpLuUnBk0QjIlr2H7AlZpD9A7cGxU-WjmADAbf4.EBJ5KiYfCuA0ZB-qUW5FGCAnDMpC302zm11E99Yu3-4&dib_tag=se&keywords=Liber+%26&qid=1747908424&sr=8-1,Word 1
B08HR8LVXR,WallyBags,WallyBags,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxMzc4MzY4Mzg0MzI0ODI1OjE3NDc5MDg0Mjg6c3BfYXRmOjMwMDc1MDMwNjIxOTYwMjo6MDo6&url=%2FWallyBags%25C2%25AE-Deluxe-Tri-Fold-Garment-pockets%2Fdp%2FB08HR8LVXR%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.5D9w1rzY0pU0sCi8QE0B_wK38iBzqGzg7Xr-M4Ea-xdmLsw2Xl9i5YhGDmD2TXThBTORTFX6wmJkUPn-ooxKzhdcWyVlShMLZJ2XAB3F4BVe4CK2VQjSYIzNidw2nT-5Jb7hMHPJe434HeUiFqcxxk_S_n-Ylje6sISFyOPXiLTEE3O4GgnKd1mAFVOpgAdsLeubaWvhpjvRDLsXxgkvtujstIXUowdpcD9uQUXcLXqq9CsR9hsMxrqUFyQwllfi6KkghB1uZiOXIfLlJqnigIOLpn6fwuRT6SXtl1grKtQ.baboUW1k70xgXSaU2gEcV_GWvodbh1nibLn3qQJaF48%26dib_tag%3Dse%26keywords%3DWallyBags%26qid%3D1747908428%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,Exact Match
B0DDSKBGZS,Maniology,Maniology,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4ODQ1Mjc0MzM0NTg2MzM5OjE3NDc5MDg0MzM6c3BfYXRmOjMwMDc2MjEwMzUyNjYwMjo6MDo6&url=%2FManiology-Perfect-Waterbased-Stamping-Must-Haves%2Fdp%2FB0DDSKBGZS%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.0fbXQBZ9msTpgSZqnvEEeC18XNs8FWxu2VsCCJ4kNMkrHm5WJNYhJ4K8NSEziQYGaTSt1SnDXfIgdzEcsx8rv_nJkdW1v7Yx4r6E8FWvJgC4qK3E6bTePl2gRbpd5lgj_zn0Nlp2flaxkVBPpiw0B6eGFTyA1pQLWfBRaBYUaAGts4b9jW8XWOp0LV0TFLHID-yX65XEIcDJoL5O80wKDOx8tTgi_UD612ezKR3oHQSM1LeGvYy4YBDgnLLdh7fnc23Rx8H0r-5OAkBkL9Ovswo-f-djkYOlDpMk49JUD4c.VzdaLHWre3nKmJ7lVY899u20_YlZSpqKyv3AdWBcsqA%26dib_tag%3Dse%26keywords%3DManiology%26qid%3D1747908433%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,Exact Match
B0BLLJYM64,DoggieLawn,DoggieLawn,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0NDM2MzA0ODU3OTYwMDIzOjE3NDc5MDg0Mzk6c3BfYXRmOjMwMDQyNTY5NDg0ODgwMjo6MDo6&url=%2FReusable-Training-Puppies-Washable-Non-Spill%2Fdp%2FB0BLLJYM64%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.Yn_voVHyT4Y759wDAQdAqfJfIbOZXAN23_8somG7ePenxc_qL96QSGSh37JJFyAv618qUeMQMrFqcLB4gx3yjtSIOCRlO9Tz9bZPU8ylW7yBOwgWK9dnfwWK942VTStBT1ehZxNWTZjBN5HEdVTAkeFYOJueWVA_fVzXgROWv18phOw-7D4Azjw_OdDFV4hyeNRGr7kHS6sCGKVWJyRkpeKICNiWnOJxxLb1yJ5_pLza8OavsYGgTtGg5LWaxKahzqavbZERujeHYKrl6OczrtCchrXwwDuvxN0uYWPc3-c.GzvJ6GMNv3_kr40HYnlra5KjMeV3rJJNKinW5pJj7iM%26dib_tag%3Dse%26keywords%3DDoggieLawn%26qid%3D1747908439%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,Exact Match
B0DSCHM5RX,Natural Stacks,NATURAL STACKS,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyNDM5NjY1MDAzNjc0NjE5OjE3NDc5MDg0NDQ6c3BfYXRmOjMwMDY1MTUwMTYyMzUwMjo6MDo6&url=%2FNATURAL-STACKS-NeuroLife-Acetylcholine-Bundle%2Fdp%2FB0DSCHM5RX%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.trSPzXDdQwsmwVHDcbTlj-PGfpfk_EXRfw3XoYsue8pTlOX3ga8Pir6bmN7yvJPcnlCHl3MRb0-UD0SMtu8cUnybNdZ-V2Ze9lCieHOrJztObTL9DYsCt6AA3eIwvdGinIbd8bEH5EO0zPlklOYDLtaI4FG-e-7if1OW_-MAzW1IoVz52FbNI5ISNUmpr9lsM8-VS63VVccLprQA11B5QsJc35ZFFHwP_cKQxtg1cW0AUq5UUNGgTS-WzTw3GZjJ3B9xKh68drwaT6aSf4LQClxfVNQKGOJ1nid1n4N7WXc.Q9jejM4Y8zIubeXx2AvM8cnrJBdDHjCk_1_bWYw6ge0%26dib_tag%3Dse%26keywords%3DNatural%2BStacks%26qid%3D1747908444%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,Exact Match
B0CR6VGQHN,SONNEMAN - A Way of Light,"Sonneman Modern Lighting 3773.25 Fino LED Linear Vanity, Bathroom Light Bar Wall Lighting Fixture for Bathroom or Bedroom - 3000K - 32"" - Satin Black",https://www.amazon.com/Sonneman-Lighting-Fino-Vanity-Bar/dp/B0CR6VGQHN/ref=sr_1_1?dib=eyJ2IjoiMSJ9.5yUfxFDh9TBXRIhT65D_cKW2u44ZSjJ-06L4w0Xl7R6b0KCLbWyr5geyzU5zF85G-b9GjnHowdH9QrCB2-tlEkQqdsYMDS5awY9464Dp_Gof1EJ_0mx2f9-0W4LGiD9SfEE3RlCKNnuyIYytXQmKo13eQBzKZGCzJntjsFX4c4ctMhTcun5HTVUfAVH8v542Ky5gQoALaMh2wVG9MbsXMukIc9IWSdFUOzB86f7qVkkObzG6pruqkHAvBKV-foMHK6qUblPMEdCmfSpHnITM69LqD3gWMIoPH7ld6SAyQp8.vY91Oyd9sQXKxfB-7aFy8yiWQIWo1PAGeXfjV16xgxA&dib_tag=se&keywords=SONNEMAN+-+A+Way+of+Light&qid=1747908449&sr=8-1,Word 1
321860470,Cornerstone Graduate Supply,Cornerstones for College Success,https://www.amazon.com/Cornerstones-College-Success-Robert-Sherfield/dp/0321860470/ref=sr_1_1?dib=eyJ2IjoiMSJ9.VEHQNf9J1EfRtQ8gOg6xmApU9wC51BgcCHT7MmJ1Z-o.OI6QqQpePdSzu6LZWMQEIGq9ayP7taWguIH6zMYjovM&dib_tag=se&keywords=Cornerstone+Graduate+Supply&qid=1747908454&sr=8-1,Word 1
