asin,brandName,title,fetchedBrandName,link,matchedWord,brandExist
B0D8WBJFWQ,nano9,NANO9,Not Found,https://www.amazon.com/dp/B0D8WBJFWQ/ref=sr_1_8?dib=eyJ2IjoiMSJ9.tKFUQmigV1FVYvcIiLgK7u_IKpkGtfsRlKRkQVyynZrSL2tyW4UI_ObFJAZ57VWEOpD5NxHjYhgetSGZC4hsh1h2oPPj7vBXFI4rj88oHmtWso1NhI7KtvradODUBEP_JoQiAG7ZarNvLPWw5siwG9FFphBfx0stHq8QflT3IGz6eKb20G81XrILm6yByauJtHybxSeBOJOX1u1eXCXiAw6AUQsBys25j61-cAofImgADJ2mc1eZJ5mfjeUz2icJfBJJcTJJHiTkTHnQ4JT2sD33cDDv9pANpEybfKwU4xI.Va_oPdFzD426_ueVfRt0R3J_o2INVGlaG7PujzdEMW8&dib_tag=se&keywords=nano9&qid=1749552240&sr=8-8,Exact Match,No
B0D8W9XWVL,nano9,NANO9,Not Found,https://www.amazon.com/dp/B0D8W9XWVL/ref=sr_1_9?dib=eyJ2IjoiMSJ9.tKFUQmigV1FVYvcIiLgK7u_IKpkGtfsRlKRkQVyynZrSL2tyW4UI_ObFJAZ57VWEOpD5NxHjYhgetSGZC4hsh1h2oPPj7vBXFI4rj88oHmtWso1NhI7KtvradODUBEP_JoQiAG7ZarNvLPWw5siwG9FFphBfx0stHq8QflT3IGz6eKb20G81XrILm6yByauJtHybxSeBOJOX1u1eXCXiAw6AUQsBys25j61-cAofImgADJ2mc1eZJ5mfjeUz2icJfBJJcTJJHiTkTHnQ4JT2sD33cDDv9pANpEybfKwU4xI.Va_oPdFzD426_ueVfRt0R3J_o2INVGlaG7PujzdEMW8&dib_tag=se&keywords=nano9&marketplaceId=ATVPDKIKX0DER&musicTerritory=US&qid=1749552240&sr=8-9&trackAsin=B0D8W9XWVL,Exact Match,No
B00CEJ6S5G,Superior Records,Dynamic Superiors ~ Give & Take LP Vinyl Record (18940),Not Found,https://www.amazon.com/Dynamic-Superiors-Vinyl-Record-18940/dp/B00CEJ6S5G/ref=sr_1_1?dib=eyJ2IjoiMSJ9.HzxkdEuwOBhcitGP-_17j7oVS_IPmOsWwepXp4KD4rDxntl-iUQcqC-OIydNaxtVJxo8lv0uTNS9TI1wWClVifiidt7uoB966Mdt9OpnOpquST1mVke8sVmNlxvRsnRWr_ndP3F6jaOOBcRGFaFUiujzZX_sWRpzJ9EgexoCjjodyNxFT6npeiXfi1KajvIoMLVDYSouy3HFbT4Jy0Q-kGmlZKoeckpMUkDQoP0_eEw.sWwJyapnZbJbe1f0kemJN0SRXdq0njqK4XQBQow4cP4&dib_tag=se&keywords=Superior+Records&qid=1749552246&sr=8-1,Word 1,No
B00EEIKCIY,Superior Records,B. B. King 'The Jungle' Original 1970 United Superior Records US-7742 Stereo Vinyl Lp Record EX,Not Found,https://www.amazon.com/Jungle-Original-Superior-Records-US-7742/dp/B00EEIKCIY/ref=sr_1_2?dib=eyJ2IjoiMSJ9.HzxkdEuwOBhcitGP-_17j7oVS_IPmOsWwepXp4KD4rDxntl-iUQcqC-OIydNaxtVJxo8lv0uTNS9TI1wWClVifiidt7uoB966Mdt9OpnOpquST1mVke8sVmNlxvRsnRWr_ndP3F6jaOOBcRGFaFUiujzZX_sWRpzJ9EgexoCjjodyNxFT6npeiXfi1KajvIoMLVDYSouy3HFbT4Jy0Q-kGmlZKoeckpMUkDQoP0_eEw.sWwJyapnZbJbe1f0kemJN0SRXdq0njqK4XQBQow4cP4&dib_tag=se&keywords=Superior+Records&qid=1749552246&sr=8-2,Word 1,No
B0040U8XTG,Superior Records,The Dynamic Superiors / Pure Pleasure,Not Found,https://www.amazon.com/Dynamic-Superiors-Pure-Pleasure/dp/B0040U8XTG/ref=sr_1_6?dib=eyJ2IjoiMSJ9.HzxkdEuwOBhcitGP-_17j7oVS_IPmOsWwepXp4KD4rDxntl-iUQcqC-OIydNaxtVJxo8lv0uTNS9TI1wWClVifiidt7uoB966Mdt9OpnOpquST1mVke8sVmNlxvRsnRWr_ndP3F6jaOOBcRGFaFUiujzZX_sWRpzJ9EgexoCjjodyNxFT6npeiXfi1KajvIoMLVDYSouy3HFbT4Jy0Q-kGmlZKoeckpMUkDQoP0_eEw.sWwJyapnZbJbe1f0kemJN0SRXdq0njqK4XQBQow4cP4&dib_tag=se&keywords=Superior+Records&qid=1749552246&sr=8-6,Word 1,No
B07FXZBYJ9,Superior Records,The Way of the Superior Man,Not Found,https://www.amazon.com/The-Way-of-Superior-Man-audiobook/dp/B07FXZBYJ9/ref=sr_1_17?dib=eyJ2IjoiMSJ9.HzxkdEuwOBhcitGP-_17j7oVS_IPmOsWwepXp4KD4rDxntl-iUQcqC-OIydNaxtVJxo8lv0uTNS9TI1wWClVifiidt7uoB966Mdt9OpnOpquST1mVke8sVmNlxvRsnRWr_ndP3F6jaOOBcRGFaFUiujzZX_sWRpzJ9EgexoCjjodyNxFT6npeiXfi1KajvIoMLVDYSouy3HFbT4Jy0Q-kGmlZKoeckpMUkDQoP0_eEw.sWwJyapnZbJbe1f0kemJN0SRXdq0njqK4XQBQow4cP4&dib_tag=se&keywords=Superior+Records&qid=1749552246&sr=8-17,Word 1,No
B0FBQ6DDKG,Southeast Asia Food SAFG,Philippines Lumpia Spring Roll Southeast Asian Food Cuisine PopSockets PopGrip for MagSafe,"Lumpia Roll, Spring Rolls, Lumpia Wrappers",https://www.amazon.com/Philippines-Lumpia-Spring-Roll-PopSockets/dp/B0FBQ6DDKG/ref=sr_1_1?dib=eyJ2IjoiMSJ9.Iv_J3RYzwVVpzclNQV5FmLQ8HhXUTanjwbs8lwqnctja3ntI7vvRQGmxDcxJaqhJISob4fZtEdNrtai_eXHHWSxuNSDjRPtL2gwt-qhbvkA2t79C2mCGlzSu1Fu7FIVUoRZdQhxTGdoIycAZ2hXBGA.FdFKCK46jNnfcpuEqk4qnprN8tnW64BLlQJZ-drxG-I&dib_tag=se&keywords=southeast+asia+food+safe&qid=1749552264&sr=8-1,Word 1,No
B0FBQNY8XS,Southeast Asia Food SAFG,Philippines Lumpia Spring Roll Gear Southeast Asian Food PopSockets PopWallet for MagSafe,Funny Lumpia Design Spring Roll Accessories,https://www.amazon.com/Philippines-Lumpia-Spring-Roll-PopSockets/dp/B0FBQNY8XS/ref=sr_1_2?dib=eyJ2IjoiMSJ9.Iv_J3RYzwVVpzclNQV5FmLQ8HhXUTanjwbs8lwqnctja3ntI7vvRQGmxDcxJaqhJISob4fZtEdNrtai_eXHHWSxuNSDjRPtL2gwt-qhbvkA2t79C2mCGlzSu1Fu7FIVUoRZdQhxTGdoIycAZ2hXBGA.FdFKCK46jNnfcpuEqk4qnprN8tnW64BLlQJZ-drxG-I&dib_tag=se&keywords=southeast+asia+food+safe&qid=1749552264&sr=8-2,Word 1,No
B0FB8FRFYX,Southeast Asia Food SAFG,Philippines Lumpia Spring Roll Southeast Asian Cuisine PopSockets PopGrip for MagSafe,Life Is Better With Lumpia In It,https://www.amazon.com/Philippines-Lumpia-Southeast-Cuisine-PopSockets/dp/B0FB8FRFYX/ref=sr_1_3?dib=eyJ2IjoiMSJ9.Iv_J3RYzwVVpzclNQV5FmLQ8HhXUTanjwbs8lwqnctja3ntI7vvRQGmxDcxJaqhJISob4fZtEdNrtai_eXHHWSxuNSDjRPtL2gwt-qhbvkA2t79C2mCGlzSu1Fu7FIVUoRZdQhxTGdoIycAZ2hXBGA.FdFKCK46jNnfcpuEqk4qnprN8tnW64BLlQJZ-drxG-I&dib_tag=se&keywords=southeast+asia+food+safe&qid=1749552264&sr=8-3,Word 1,No
B07D7T9SY6,Southeast Asia Food SAFG,"Suncore Foods Emerald Pandan Leaf Powder, Green Food Coloring Powder, Gluten-Free, Non-GMO, 3.5oz (1 Pack)",Suncore Foods,https://www.amazon.com/Suncore-Foods-Pandan-Natural-Supercolor/dp/B07D7T9SY6/ref=sr_1_4?dib=eyJ2IjoiMSJ9.Iv_J3RYzwVVpzclNQV5FmLQ8HhXUTanjwbs8lwqnctja3ntI7vvRQGmxDcxJaqhJISob4fZtEdNrtai_eXHHWSxuNSDjRPtL2gwt-qhbvkA2t79C2mCGlzSu1Fu7FIVUoRZdQhxTGdoIycAZ2hXBGA.FdFKCK46jNnfcpuEqk4qnprN8tnW64BLlQJZ-drxG-I&dib_tag=se&keywords=southeast+asia+food+safe&qid=1749552264&sr=8-4,Word 3,No
B0DXR4W7SR,Southeast Asia Food SAFG,"Insider’s handbook Phuket 2025/2026: Things to keep in mind prior to your visit, What to See and Do, Where to Stay Safe, Budget, Historic Sites, Delicious Food, and More",Not Found,https://www.amazon.com/Insiders-handbook-Phuket-2025-2026-ebook/dp/B0DXR4W7SR/ref=sr_1_5?dib=eyJ2IjoiMSJ9.Iv_J3RYzwVVpzclNQV5FmLQ8HhXUTanjwbs8lwqnctja3ntI7vvRQGmxDcxJaqhJISob4fZtEdNrtai_eXHHWSxuNSDjRPtL2gwt-qhbvkA2t79C2mCGlzSu1Fu7FIVUoRZdQhxTGdoIycAZ2hXBGA.FdFKCK46jNnfcpuEqk4qnprN8tnW64BLlQJZ-drxG-I&dib_tag=se&keywords=southeast+asia+food+safe&qid=1749552264&sr=8-5,Word 3,No
B0FBMKPRVD,Southeast Asia Food SAFG,Call Me Lumpia Queen - Spring Roll Eater Women Asian Food PopSockets PopWallet for MagSafe,Retro Fried Wrappers And Spring Roll Lumpia,https://www.amazon.com/Call-Lumpia-Queen-PopSockets-PopWallet/dp/B0FBMKPRVD/ref=sr_1_6?dib=eyJ2IjoiMSJ9.Iv_J3RYzwVVpzclNQV5FmLQ8HhXUTanjwbs8lwqnctja3ntI7vvRQGmxDcxJaqhJISob4fZtEdNrtai_eXHHWSxuNSDjRPtL2gwt-qhbvkA2t79C2mCGlzSu1Fu7FIVUoRZdQhxTGdoIycAZ2hXBGA.FdFKCK46jNnfcpuEqk4qnprN8tnW64BLlQJZ-drxG-I&dib_tag=se&keywords=southeast+asia+food+safe&qid=1749552264&sr=8-6,Word 2,No
B0FBL6KSJZ,Southeast Asia Food SAFG,Vaguelly Woven Storage Pouch with Lid Small Candy Tea Organizer Southeast Asian Style Practical Lightweight Design for Weddings Snacks,Vaguelly,https://www.amazon.com/Vaguelly-Organizer-Southeast-Practical-Lightweight/dp/B0FBL6KSJZ/ref=sr_1_7?dib=eyJ2IjoiMSJ9.Iv_J3RYzwVVpzclNQV5FmLQ8HhXUTanjwbs8lwqnctja3ntI7vvRQGmxDcxJaqhJISob4fZtEdNrtai_eXHHWSxuNSDjRPtL2gwt-qhbvkA2t79C2mCGlzSu1Fu7FIVUoRZdQhxTGdoIycAZ2hXBGA.FdFKCK46jNnfcpuEqk4qnprN8tnW64BLlQJZ-drxG-I&dib_tag=se&keywords=southeast+asia+food+safe&qid=1749552264&sr=8-7,Word 1,No
