asin,keywordName,link
B07HQG8TJM,decaf coffee flavored,https://www.amazon.com/Crazy-Cups-Flavored-Ground-Variety/dp/B07HQG8TJM/ref=sr_1_1?dib=eyJ2IjoiMSJ9.8SqXrOuyYRsvnv5NUDbtPDG_1C4asmCSsoTDr3pVkJ58VNalmxY6MQcbyjVp3UqidkhEgeT3RxMkKb1L5zhTA-fgSBDKZRj538qlOnuG4KnPC8gFnloOhoKxBujIKFEthKQQ-6ySs_uwHyWd0uU_Z6pfjde7PdJWwZQX3WFp38BMvA-uxsc2FiKUi8Qijfofuvr73wfB-gVHy4JmUdpHeF8voEA5nkKdJ59hS2iql8o7P8YAMOJcGIVKDzcDwY5KEsncNDvnk0zBcXGp96HGi74QBjJOJ2NSbLmIFSQX4_o.d5lg04NZzyBWlC4Kl7yP-pkl34e6PjPjltO7lljvO0Y&dib_tag=se&keywords=decaf+coffee+flavored&qid=1750696760&sr=8-1
B07VN6F4FZ,decaf coffee flavored,https://www.amazon.com/Crazy-Cups-Caramel-Vanilla-Flavored/dp/B07VN6F4FZ/ref=sr_1_2?dib=eyJ2IjoiMSJ9.8SqXrOuyYRsvnv5NUDbtPDG_1C4asmCSsoTDr3pVkJ58VNalmxY6MQcbyjVp3UqidkhEgeT3RxMkKb1L5zhTA-fgSBDKZRj538qlOnuG4KnPC8gFnloOhoKxBujIKFEthKQQ-6ySs_uwHyWd0uU_Z6pfjde7PdJWwZQX3WFp38BMvA-uxsc2FiKUi8Qijfofuvr73wfB-gVHy4JmUdpHeF8voEA5nkKdJ59hS2iql8o7P8YAMOJcGIVKDzcDwY5KEsncNDvnk0zBcXGp96HGi74QBjJOJ2NSbLmIFSQX4_o.d5lg04NZzyBWlC4Kl7yP-pkl34e6PjPjltO7lljvO0Y&dib_tag=se&keywords=decaf+coffee+flavored&qid=1750696760&sr=8-2
B0DV52HKHT,decaf coffee flavored,https://www.amazon.com/Flavored-Compatible-Cups-Assorted-Decaffeinated/dp/B0DV52HKHT/ref=sr_1_3?dib=eyJ2IjoiMSJ9.8SqXrOuyYRsvnv5NUDbtPDG_1C4asmCSsoTDr3pVkJ58VNalmxY6MQcbyjVp3UqidkhEgeT3RxMkKb1L5zhTA-fgSBDKZRj538qlOnuG4KnPC8gFnloOhoKxBujIKFEthKQQ-6ySs_uwHyWd0uU_Z6pfjde7PdJWwZQX3WFp38BMvA-uxsc2FiKUi8Qijfofuvr73wfB-gVHy4JmUdpHeF8voEA5nkKdJ59hS2iql8o7P8YAMOJcGIVKDzcDwY5KEsncNDvnk0zBcXGp96HGi74QBjJOJ2NSbLmIFSQX4_o.d5lg04NZzyBWlC4Kl7yP-pkl34e6PjPjltO7lljvO0Y&dib_tag=se&keywords=decaf+coffee+flavored&qid=1750696760&sr=8-3
B01HOUNCDA,decaf coffee flavored,https://www.amazon.com/Double-Donut-Flavored-Variety-Sampler/dp/B01HOUNCDA/ref=sr_1_4?dib=eyJ2IjoiMSJ9.8SqXrOuyYRsvnv5NUDbtPDG_1C4asmCSsoTDr3pVkJ58VNalmxY6MQcbyjVp3UqidkhEgeT3RxMkKb1L5zhTA-fgSBDKZRj538qlOnuG4KnPC8gFnloOhoKxBujIKFEthKQQ-6ySs_uwHyWd0uU_Z6pfjde7PdJWwZQX3WFp38BMvA-uxsc2FiKUi8Qijfofuvr73wfB-gVHy4JmUdpHeF8voEA5nkKdJ59hS2iql8o7P8YAMOJcGIVKDzcDwY5KEsncNDvnk0zBcXGp96HGi74QBjJOJ2NSbLmIFSQX4_o.d5lg04NZzyBWlC4Kl7yP-pkl34e6PjPjltO7lljvO0Y&dib_tag=se&keywords=decaf+coffee+flavored&qid=1750696760&sr=8-4
B0BVNX1TK4,decaf coffee flavored,https://www.amazon.com/Fresh-Roasted-Coffee-Traditional-Compatible/dp/B0BVNX1TK4/ref=sr_1_5?dib=eyJ2IjoiMSJ9.8SqXrOuyYRsvnv5NUDbtPDG_1C4asmCSsoTDr3pVkJ58VNalmxY6MQcbyjVp3UqidkhEgeT3RxMkKb1L5zhTA-fgSBDKZRj538qlOnuG4KnPC8gFnloOhoKxBujIKFEthKQQ-6ySs_uwHyWd0uU_Z6pfjde7PdJWwZQX3WFp38BMvA-uxsc2FiKUi8Qijfofuvr73wfB-gVHy4JmUdpHeF8voEA5nkKdJ59hS2iql8o7P8YAMOJcGIVKDzcDwY5KEsncNDvnk0zBcXGp96HGi74QBjJOJ2NSbLmIFSQX4_o.d5lg04NZzyBWlC4Kl7yP-pkl34e6PjPjltO7lljvO0Y&dib_tag=se&keywords=decaf+coffee+flavored&qid=1750696760&sr=8-5
B00W2F3LKW,decaf coffee flavored,https://www.amazon.com/Custom-Variety-Pack-Flavored-Coffee/dp/B00W2F3LKW/ref=sr_1_6?dib=eyJ2IjoiMSJ9.8SqXrOuyYRsvnv5NUDbtPDG_1C4asmCSsoTDr3pVkJ58VNalmxY6MQcbyjVp3UqidkhEgeT3RxMkKb1L5zhTA-fgSBDKZRj538qlOnuG4KnPC8gFnloOhoKxBujIKFEthKQQ-6ySs_uwHyWd0uU_Z6pfjde7PdJWwZQX3WFp38BMvA-uxsc2FiKUi8Qijfofuvr73wfB-gVHy4JmUdpHeF8voEA5nkKdJ59hS2iql8o7P8YAMOJcGIVKDzcDwY5KEsncNDvnk0zBcXGp96HGi74QBjJOJ2NSbLmIFSQX4_o.d5lg04NZzyBWlC4Kl7yP-pkl34e6PjPjltO7lljvO0Y&dib_tag=se&keywords=decaf+coffee+flavored&qid=1750696760&sr=8-6
B00WKXSJJO,decaf coffee flavored,https://www.amazon.com/Crazy-Cups-Flavored-Lovers-24-Piece/dp/B00WKXSJJO/ref=sr_1_7?dib=eyJ2IjoiMSJ9.8SqXrOuyYRsvnv5NUDbtPDG_1C4asmCSsoTDr3pVkJ58VNalmxY6MQcbyjVp3UqidkhEgeT3RxMkKb1L5zhTA-fgSBDKZRj538qlOnuG4KnPC8gFnloOhoKxBujIKFEthKQQ-6ySs_uwHyWd0uU_Z6pfjde7PdJWwZQX3WFp38BMvA-uxsc2FiKUi8Qijfofuvr73wfB-gVHy4JmUdpHeF8voEA5nkKdJ59hS2iql8o7P8YAMOJcGIVKDzcDwY5KEsncNDvnk0zBcXGp96HGi74QBjJOJ2NSbLmIFSQX4_o.d5lg04NZzyBWlC4Kl7yP-pkl34e6PjPjltO7lljvO0Y&dib_tag=se&keywords=decaf+coffee+flavored&qid=1750696760&sr=8-7
B01N2QF8S6,decaf coffee flavored,https://www.amazon.com/Brooklyn-Beans-Variety-Compatible-Brewers/dp/B01N2QF8S6/ref=sr_1_8?dib=eyJ2IjoiMSJ9.8SqXrOuyYRsvnv5NUDbtPDG_1C4asmCSsoTDr3pVkJ58VNalmxY6MQcbyjVp3UqidkhEgeT3RxMkKb1L5zhTA-fgSBDKZRj538qlOnuG4KnPC8gFnloOhoKxBujIKFEthKQQ-6ySs_uwHyWd0uU_Z6pfjde7PdJWwZQX3WFp38BMvA-uxsc2FiKUi8Qijfofuvr73wfB-gVHy4JmUdpHeF8voEA5nkKdJ59hS2iql8o7P8YAMOJcGIVKDzcDwY5KEsncNDvnk0zBcXGp96HGi74QBjJOJ2NSbLmIFSQX4_o.d5lg04NZzyBWlC4Kl7yP-pkl34e6PjPjltO7lljvO0Y&dib_tag=se&keywords=decaf+coffee+flavored&qid=1750696760&sr=8-8
B00N0JIBRC,decaf coffee flavored,https://www.amazon.com/Two-Rivers-Compatible-Brewers-Variety/dp/B00N0JIBRC/ref=sr_1_9?dib=eyJ2IjoiMSJ9.8SqXrOuyYRsvnv5NUDbtPDG_1C4asmCSsoTDr3pVkJ58VNalmxY6MQcbyjVp3UqidkhEgeT3RxMkKb1L5zhTA-fgSBDKZRj538qlOnuG4KnPC8gFnloOhoKxBujIKFEthKQQ-6ySs_uwHyWd0uU_Z6pfjde7PdJWwZQX3WFp38BMvA-uxsc2FiKUi8Qijfofuvr73wfB-gVHy4JmUdpHeF8voEA5nkKdJ59hS2iql8o7P8YAMOJcGIVKDzcDwY5KEsncNDvnk0zBcXGp96HGi74QBjJOJ2NSbLmIFSQX4_o.d5lg04NZzyBWlC4Kl7yP-pkl34e6PjPjltO7lljvO0Y&dib_tag=se&keywords=decaf+coffee+flavored&qid=1750696760&sr=8-9
B00Y15D494,decaf coffee flavored,https://www.amazon.com/Crazy-Cups-Flavored-Brewers-Variety/dp/B00Y15D494/ref=sr_1_10?dib=eyJ2IjoiMSJ9.8SqXrOuyYRsvnv5NUDbtPDG_1C4asmCSsoTDr3pVkJ58VNalmxY6MQcbyjVp3UqidkhEgeT3RxMkKb1L5zhTA-fgSBDKZRj538qlOnuG4KnPC8gFnloOhoKxBujIKFEthKQQ-6ySs_uwHyWd0uU_Z6pfjde7PdJWwZQX3WFp38BMvA-uxsc2FiKUi8Qijfofuvr73wfB-gVHy4JmUdpHeF8voEA5nkKdJ59hS2iql8o7P8YAMOJcGIVKDzcDwY5KEsncNDvnk0zBcXGp96HGi74QBjJOJ2NSbLmIFSQX4_o.d5lg04NZzyBWlC4Kl7yP-pkl34e6PjPjltO7lljvO0Y&dib_tag=se&keywords=decaf+coffee+flavored&qid=1750696760&sr=8-10
